"filename","bfs"
"omp_32_2d_BFS_OMP_E_Data_IntType_NonDeterm_Default_NoFieldBug_Atomic_ReadWrite.cpp
","0.035127"
"omp_32_2d_BFS_OMP_E_Data_IntType_Determ_Dynamic_NoFieldBug_Atomic_ReadModifyWrite.cpp
","0.018641"
"omp_32_2d_BFS_OMP_E_Data_IntType_NonDeterm_Dynamic_NoFieldBug_Atomic_ReadModifyWrite.cpp
","12.620484"
"omp_32_2d_BFS_OMP_E_Data_IntType_Determ_Default_NoFieldBug_Atomic_ReadModifyWrite.cpp
","0.018306"
"omp_32_2d_BFS_OMP_E_Data_IntType_NonDeterm_Default_NoFieldBug_Atomic_ReadModifyWrite.cpp
","13.016102"
"omp_32_2d_BFS_OMP_E_Data_IntType_NonDeterm_Dynamic_NoFieldBug_Atomic_ReadWrite.cpp
","0.034720"
"omp_32_2d_BFS_OMP_E_Topo_IntType_ReadModifyWrite_NonDeterm_Dynamic_NoBoundsBug_Atomic_NoRangeBug.cpp
","0.000839"
"omp_32_2d_BFS_OMP_E_Topo_IntType_ReadModifyWrite_Determ_Dynamic_NoBoundsBug_Atomic_NoRangeBug.cpp
","0.000196"
"omp_32_2d_BFS_OMP_E_Topo_IntType_ReadModifyWrite_Determ_Default_NoBoundsBug_Atomic_NoRangeBug.cpp
","0.000197"
"omp_32_2d_BFS_OMP_E_Topo_IntType_ReadWrite_NonDeterm_Default_NoBoundsBug_Atomic_NoRangeBug.cpp
","0.000855"
"omp_32_2d_BFS_OMP_E_Topo_IntType_ReadWrite_NonDeterm_Dynamic_NoBoundsBug_Atomic_NoRangeBug.cpp
","0.000839"
"omp_32_2d_BFS_OMP_E_Topo_IntType_ReadModifyWrite_NonDeterm_Default_NoBoundsBug_Atomic_NoRangeBug.cpp
","0.000853"
"omp_32_2d_BFS_OMP_V_Data_Push_IntType_ReadModifyWrite_Determ_Dynamic_NoFieldBug_Atomic_NoRangeBug_NoBoundsBug2_Dup.cpp
","0.058680"
"omp_32_2d_BFS_OMP_V_Data_Push_IntType_ReadModifyWrite_Determ_Default_NoFieldBug_Atomic_NoRangeBug_NoBoundsBug2_NonDup.cpp
","0.046751"
"omp_32_2d_BFS_OMP_V_Data_Push_IntType_ReadModifyWrite_NonDeterm_Dynamic_NoFieldBug_Atomic_NoRangeBug_NoBoundsBug2_NonDup.cpp
","0.066098"
"omp_32_2d_BFS_OMP_V_Data_Push_IntType_ReadModifyWrite_NonDeterm_Default_NoFieldBug_Atomic_NoRangeBug_NoBoundsBug2_Dup.cpp
","0.079016"
"omp_32_2d_BFS_OMP_V_Data_Push_IntType_ReadWrite_NonDeterm_Default_NoFieldBug_Atomic_NoRangeBug_NoBoundsBug2_NonDup.cpp
","0.038910"
"omp_32_2d_BFS_OMP_V_Data_Push_IntType_ReadModifyWrite_NonDeterm_Default_NoFieldBug_Atomic_NoRangeBug_NoBoundsBug2_NonDup.cpp
","0.065178"
"omp_32_2d_BFS_OMP_V_Data_Push_IntType_ReadWrite_NonDeterm_Default_NoFieldBug_Atomic_NoRangeBug_NoBoundsBug2_Dup.cpp
","0.053650"
"omp_32_2d_BFS_OMP_V_Data_Push_IntType_ReadModifyWrite_Determ_Default_NoFieldBug_Atomic_NoRangeBug_NoBoundsBug2_Dup.cpp
","0.058646"
"omp_32_2d_BFS_OMP_V_Data_Push_IntType_ReadModifyWrite_NonDeterm_Dynamic_NoFieldBug_Atomic_NoRangeBug_NoBoundsBug2_Dup.cpp
","0.078877"
"omp_32_2d_BFS_OMP_V_Data_Push_IntType_ReadModifyWrite_Determ_Dynamic_NoFieldBug_Atomic_NoRangeBug_NoBoundsBug2_NonDup.cpp
","0.046566"
"omp_32_2d_BFS_OMP_V_Data_Push_IntType_ReadWrite_NonDeterm_Dynamic_NoFieldBug_Atomic_NoRangeBug_NoBoundsBug2_Dup.cpp
","0.058046"
"omp_32_2d_BFS_OMP_V_Data_Push_IntType_ReadWrite_NonDeterm_Dynamic_NoFieldBug_Atomic_NoRangeBug_NoBoundsBug2_NonDup.cpp
","0.038216"
"omp_32_2d_BFS_OMP_V_Data_Pull_IntType_Determ_Dynamic_NoFieldBug_Atomic_NoBoundsBug2_NoRangeBug.cpp
","0.022970"
"omp_32_2d_BFS_OMP_V_Data_Pull_IntType_Determ_Default_NoFieldBug_Atomic_NoBoundsBug2_NoRangeBug.cpp
","0.022586"
"omp_32_2d_BFS_OMP_V_Data_Pull_IntType_NonDeterm_Dynamic_NoFieldBug_Atomic_NoBoundsBug2_NoRangeBug.cpp
","0.031231"
"omp_32_2d_BFS_OMP_V_Data_Pull_IntType_NonDeterm_Default_NoFieldBug_Atomic_NoBoundsBug2_NoRangeBug.cpp
","0.031321"
"omp_32_2d_BFS_OMP_V_Topo_Push_IntType_NoRangeBug_ReadModifyWrite_Default_NoBoundsBug_Atomic_NonDeterm.cpp
","0.001271"
"omp_32_2d_BFS_OMP_V_Topo_Push_IntType_NoRangeBug_ReadWrite_Default_NoBoundsBug_Atomic_Determ.cpp
","0.006786"
"omp_32_2d_BFS_OMP_V_Topo_Push_IntType_NoRangeBug_ReadWrite_Default_NoBoundsBug_Atomic_NonDeterm.cpp
","0.001258"
"omp_32_2d_BFS_OMP_V_Topo_Push_IntType_NoRangeBug_ReadModifyWrite_Dynamic_NoBoundsBug_Atomic_Determ.cpp
","0.006823"
"omp_32_2d_BFS_OMP_V_Topo_Push_IntType_NoRangeBug_ReadWrite_Dynamic_NoBoundsBug_Atomic_Determ.cpp
","0.006795"
"omp_32_2d_BFS_OMP_V_Topo_Push_IntType_NoRangeBug_ReadWrite_Dynamic_NoBoundsBug_Atomic_NonDeterm.cpp
","0.001295"
"omp_32_2d_BFS_OMP_V_Topo_Push_IntType_NoRangeBug_ReadModifyWrite_Dynamic_NoBoundsBug_Atomic_NonDeterm.cpp
","0.001295"
"omp_32_2d_BFS_OMP_V_Topo_Push_IntType_NoRangeBug_ReadModifyWrite_Default_NoBoundsBug_Atomic_Determ.cpp
","0.006809"
"omp_32_2d_BFS_OMP_V_Topo_Pull_IntType_NoRangeBug_Default_NoBoundsBug_Atomic_NonDeterm.cpp
","0.000676"
"omp_32_2d_BFS_OMP_V_Topo_Pull_IntType_NoRangeBug_Dynamic_NoBoundsBug_Atomic_Determ.cpp
","0.000228"
"omp_32_2d_BFS_OMP_V_Topo_Pull_IntType_NoRangeBug_Dynamic_NoBoundsBug_Atomic_NonDeterm.cpp
","0.000680"
"omp_32_2d_BFS_OMP_V_Topo_Pull_IntType_NoRangeBug_Default_NoBoundsBug_Atomic_Determ.cpp
","0.000229"
"omp_32_ny_BFS_OMP_E_Data_IntType_NonDeterm_Default_NoFieldBug_Atomic_ReadWrite.cpp
","0.118065"
"omp_32_ny_BFS_OMP_E_Data_IntType_Determ_Dynamic_NoFieldBug_Atomic_ReadModifyWrite.cpp
","0.057267"
"omp_32_ny_BFS_OMP_E_Data_IntType_NonDeterm_Dynamic_NoFieldBug_Atomic_ReadModifyWrite.cpp
","3.763312"
"omp_32_ny_BFS_OMP_E_Data_IntType_Determ_Default_NoFieldBug_Atomic_ReadModifyWrite.cpp
","0.057272"
"omp_32_ny_BFS_OMP_E_Data_IntType_NonDeterm_Default_NoFieldBug_Atomic_ReadModifyWrite.cpp
","3.802880"
"omp_32_ny_BFS_OMP_E_Data_IntType_NonDeterm_Dynamic_NoFieldBug_Atomic_ReadWrite.cpp
","0.116091"
"omp_32_ny_BFS_OMP_E_Topo_IntType_ReadModifyWrite_NonDeterm_Dynamic_NoBoundsBug_Atomic_NoRangeBug.cpp
","0.002724"
"omp_32_ny_BFS_OMP_E_Topo_IntType_ReadModifyWrite_Determ_Dynamic_NoBoundsBug_Atomic_NoRangeBug.cpp
","0.001910"
"omp_32_ny_BFS_OMP_E_Topo_IntType_ReadModifyWrite_Determ_Default_NoBoundsBug_Atomic_NoRangeBug.cpp
","0.001910"
"omp_32_ny_BFS_OMP_E_Topo_IntType_ReadWrite_NonDeterm_Default_NoBoundsBug_Atomic_NoRangeBug.cpp
","0.002728"
"omp_32_ny_BFS_OMP_E_Topo_IntType_ReadWrite_NonDeterm_Dynamic_NoBoundsBug_Atomic_NoRangeBug.cpp
","0.002721"
"omp_32_ny_BFS_OMP_E_Topo_IntType_ReadModifyWrite_NonDeterm_Default_NoBoundsBug_Atomic_NoRangeBug.cpp
","0.002724"
"omp_32_ny_BFS_OMP_V_Data_Push_IntType_ReadModifyWrite_Determ_Dynamic_NoFieldBug_Atomic_NoRangeBug_NoBoundsBug2_Dup.cpp
","0.075965"
"omp_32_ny_BFS_OMP_V_Data_Push_IntType_ReadModifyWrite_Determ_Default_NoFieldBug_Atomic_NoRangeBug_NoBoundsBug2_NonDup.cpp
","0.068579"
"omp_32_ny_BFS_OMP_V_Data_Push_IntType_ReadModifyWrite_NonDeterm_Dynamic_NoFieldBug_Atomic_NoRangeBug_NoBoundsBug2_NonDup.cpp
","0.130349"
"omp_32_ny_BFS_OMP_V_Data_Push_IntType_ReadModifyWrite_NonDeterm_Default_NoFieldBug_Atomic_NoRangeBug_NoBoundsBug2_Dup.cpp
","0.148572"
"omp_32_ny_BFS_OMP_V_Data_Push_IntType_ReadWrite_NonDeterm_Default_NoFieldBug_Atomic_NoRangeBug_NoBoundsBug2_NonDup.cpp
","0.104556"
"omp_32_ny_BFS_OMP_V_Data_Push_IntType_ReadModifyWrite_NonDeterm_Default_NoFieldBug_Atomic_NoRangeBug_NoBoundsBug2_NonDup.cpp
","0.130260"
"omp_32_ny_BFS_OMP_V_Data_Push_IntType_ReadWrite_NonDeterm_Default_NoFieldBug_Atomic_NoRangeBug_NoBoundsBug2_Dup.cpp
","0.106461"
"omp_32_ny_BFS_OMP_V_Data_Push_IntType_ReadModifyWrite_Determ_Default_NoFieldBug_Atomic_NoRangeBug_NoBoundsBug2_Dup.cpp
","0.075229"
"omp_32_ny_BFS_OMP_V_Data_Push_IntType_ReadModifyWrite_NonDeterm_Dynamic_NoFieldBug_Atomic_NoRangeBug_NoBoundsBug2_Dup.cpp
","0.149155"
"omp_32_ny_BFS_OMP_V_Data_Push_IntType_ReadModifyWrite_Determ_Dynamic_NoFieldBug_Atomic_NoRangeBug_NoBoundsBug2_NonDup.cpp
","0.068950"
"omp_32_ny_BFS_OMP_V_Data_Push_IntType_ReadWrite_NonDeterm_Dynamic_NoFieldBug_Atomic_NoRangeBug_NoBoundsBug2_Dup.cpp
","0.106383"
"omp_32_ny_BFS_OMP_V_Data_Push_IntType_ReadWrite_NonDeterm_Dynamic_NoFieldBug_Atomic_NoRangeBug_NoBoundsBug2_NonDup.cpp
","0.104554"
"omp_32_ny_BFS_OMP_V_Data_Pull_IntType_Determ_Dynamic_NoFieldBug_Atomic_NoBoundsBug2_NoRangeBug.cpp
","0.045132"
"omp_32_ny_BFS_OMP_V_Data_Pull_IntType_Determ_Default_NoFieldBug_Atomic_NoBoundsBug2_NoRangeBug.cpp
","0.045322"
"omp_32_ny_BFS_OMP_V_Data_Pull_IntType_NonDeterm_Dynamic_NoFieldBug_Atomic_NoBoundsBug2_NoRangeBug.cpp
","0.055064"
"omp_32_ny_BFS_OMP_V_Data_Pull_IntType_NonDeterm_Default_NoFieldBug_Atomic_NoBoundsBug2_NoRangeBug.cpp
","0.054829"
"omp_32_ny_BFS_OMP_V_Topo_Push_IntType_NoRangeBug_ReadModifyWrite_Default_NoBoundsBug_Atomic_NonDeterm.cpp
","0.001986"
"omp_32_ny_BFS_OMP_V_Topo_Push_IntType_NoRangeBug_ReadWrite_Default_NoBoundsBug_Atomic_Determ.cpp
","0.014007"
"omp_32_ny_BFS_OMP_V_Topo_Push_IntType_NoRangeBug_ReadWrite_Default_NoBoundsBug_Atomic_NonDeterm.cpp
","0.001988"
"omp_32_ny_BFS_OMP_V_Topo_Push_IntType_NoRangeBug_ReadModifyWrite_Dynamic_NoBoundsBug_Atomic_Determ.cpp
","0.014077"
"omp_32_ny_BFS_OMP_V_Topo_Push_IntType_NoRangeBug_ReadWrite_Dynamic_NoBoundsBug_Atomic_Determ.cpp
","0.014027"
"omp_32_ny_BFS_OMP_V_Topo_Push_IntType_NoRangeBug_ReadWrite_Dynamic_NoBoundsBug_Atomic_NonDeterm.cpp
","0.001987"
"omp_32_ny_BFS_OMP_V_Topo_Push_IntType_NoRangeBug_ReadModifyWrite_Dynamic_NoBoundsBug_Atomic_NonDeterm.cpp
","0.001988"
"omp_32_ny_BFS_OMP_V_Topo_Push_IntType_NoRangeBug_ReadModifyWrite_Default_NoBoundsBug_Atomic_Determ.cpp
","0.014063"
"omp_32_ny_BFS_OMP_V_Topo_Pull_IntType_NoRangeBug_Default_NoBoundsBug_Atomic_NonDeterm.cpp
","0.001187"
"omp_32_ny_BFS_OMP_V_Topo_Pull_IntType_NoRangeBug_Dynamic_NoBoundsBug_Atomic_Determ.cpp
","0.000679"
"omp_32_ny_BFS_OMP_V_Topo_Pull_IntType_NoRangeBug_Dynamic_NoBoundsBug_Atomic_NonDeterm.cpp
","0.001187"
"omp_32_ny_BFS_OMP_V_Topo_Pull_IntType_NoRangeBug_Default_NoBoundsBug_Atomic_Determ.cpp
","0.000677"
"omp_32_rmat_BFS_OMP_E_Data_IntType_NonDeterm_Default_NoFieldBug_Atomic_ReadWrite.cpp
","0.038320"
"omp_32_rmat_BFS_OMP_E_Data_IntType_Determ_Dynamic_NoFieldBug_Atomic_ReadModifyWrite.cpp
","0.017683"
"omp_32_rmat_BFS_OMP_E_Data_IntType_NonDeterm_Dynamic_NoFieldBug_Atomic_ReadModifyWrite.cpp
","0.041001"
"omp_32_rmat_BFS_OMP_E_Data_IntType_Determ_Default_NoFieldBug_Atomic_ReadModifyWrite.cpp
","0.017930"
"omp_32_rmat_BFS_OMP_E_Data_IntType_NonDeterm_Default_NoFieldBug_Atomic_ReadModifyWrite.cpp
","0.041062"
"omp_32_rmat_BFS_OMP_E_Data_IntType_NonDeterm_Dynamic_NoFieldBug_Atomic_ReadWrite.cpp
","0.037607"
"omp_32_rmat_BFS_OMP_E_Topo_IntType_ReadModifyWrite_NonDeterm_Dynamic_NoBoundsBug_Atomic_NoRangeBug.cpp
","0.026563"
"omp_32_rmat_BFS_OMP_E_Topo_IntType_ReadModifyWrite_Determ_Dynamic_NoBoundsBug_Atomic_NoRangeBug.cpp
","0.015787"
"omp_32_rmat_BFS_OMP_E_Topo_IntType_ReadModifyWrite_Determ_Default_NoBoundsBug_Atomic_NoRangeBug.cpp
","0.015747"
"omp_32_rmat_BFS_OMP_E_Topo_IntType_ReadWrite_NonDeterm_Default_NoBoundsBug_Atomic_NoRangeBug.cpp
","0.027398"
"omp_32_rmat_BFS_OMP_E_Topo_IntType_ReadWrite_NonDeterm_Dynamic_NoBoundsBug_Atomic_NoRangeBug.cpp
","0.027154"
"omp_32_rmat_BFS_OMP_E_Topo_IntType_ReadModifyWrite_NonDeterm_Default_NoBoundsBug_Atomic_NoRangeBug.cpp
","0.027353"
"omp_32_rmat_BFS_OMP_V_Data_Push_IntType_ReadModifyWrite_Determ_Dynamic_NoFieldBug_Atomic_NoRangeBug_NoBoundsBug2_Dup.cpp
","0.039239"
"omp_32_rmat_BFS_OMP_V_Data_Push_IntType_ReadModifyWrite_Determ_Default_NoFieldBug_Atomic_NoRangeBug_NoBoundsBug2_NonDup.cpp
","0.040608"
"omp_32_rmat_BFS_OMP_V_Data_Push_IntType_ReadModifyWrite_NonDeterm_Dynamic_NoFieldBug_Atomic_NoRangeBug_NoBoundsBug2_NonDup.cpp
","0.087504"
"omp_32_rmat_BFS_OMP_V_Data_Push_IntType_ReadModifyWrite_NonDeterm_Default_NoFieldBug_Atomic_NoRangeBug_NoBoundsBug2_Dup.cpp
","0.099184"
"omp_32_rmat_BFS_OMP_V_Data_Push_IntType_ReadWrite_NonDeterm_Default_NoFieldBug_Atomic_NoRangeBug_NoBoundsBug2_NonDup.cpp
","0.057869"
"omp_32_rmat_BFS_OMP_V_Data_Push_IntType_ReadModifyWrite_NonDeterm_Default_NoFieldBug_Atomic_NoRangeBug_NoBoundsBug2_NonDup.cpp
","0.085914"
"omp_32_rmat_BFS_OMP_V_Data_Push_IntType_ReadWrite_NonDeterm_Default_NoFieldBug_Atomic_NoRangeBug_NoBoundsBug2_Dup.cpp
","0.064828"
