"filename","pr"
"omp_32_2d_PR_OMP_Push_FloatType_DefaultSched_Atomic_ClauseRed.cpp
","0.079648"
"omp_32_2d_PR_OMP_Push_FloatType_DynamicSched_Atomic_ClauseRed.cpp
","0.080537"
"omp_32_2d_PR_OMP_Push_FloatType_DefaultSched_Critical_ClauseRed.cpp
","0.079462"
"omp_32_2d_PR_OMP_Push_FloatType_DefaultSched_Critical_AtomicRed.cpp
","0.079783"
"omp_32_2d_PR_OMP_Push_FloatType_DynamicSched_Atomic_AtomicRed.cpp
","0.079877"
"omp_32_2d_PR_OMP_Push_FloatType_DefaultSched_Critical_CriticalRed.cpp
","0.081313"
"omp_32_2d_PR_OMP_Push_FloatType_DefaultSched_Atomic_AtomicRed.cpp
","0.080231"
"omp_32_2d_PR_OMP_Push_FloatType_DynamicSched_Critical_AtomicRed.cpp
","0.079896"
"omp_32_2d_PR_OMP_Push_FloatType_DynamicSched_Critical_CriticalRed.cpp
","0.080025"
"omp_32_2d_PR_OMP_Push_FloatType_DynamicSched_Critical_ClauseRed.cpp
","0.080177"
"omp_32_2d_PR_OMP_Push_FloatType_DefaultSched_Atomic_CriticalRed.cpp
","0.081012"
"omp_32_2d_PR_OMP_Push_FloatType_DynamicSched_Atomic_CriticalRed.cpp
","0.080269"
"omp_32_2d_PR_OMP_Pull_FloatType_NonDetermin_DynamicSched_CriticalRed.cpp
","0.058194"
"omp_32_2d_PR_OMP_Pull_FloatType_Determin_DefaultSched_ClauseRed.cpp
","0.102163"
"omp_32_2d_PR_OMP_Pull_FloatType_Determin_DefaultSched_AtomicRed.cpp
","0.105332"
"omp_32_2d_PR_OMP_Pull_FloatType_NonDetermin_DynamicSched_AtomicRed.cpp
","0.056270"
"omp_32_2d_PR_OMP_Pull_FloatType_Determin_DynamicSched_CriticalRed.cpp
","0.104149"
"omp_32_2d_PR_OMP_Pull_FloatType_NonDetermin_DefaultSched_AtomicRed.cpp
","0.056501"
"omp_32_2d_PR_OMP_Pull_FloatType_Determin_DynamicSched_AtomicRed.cpp
","0.105616"
"omp_32_2d_PR_OMP_Pull_FloatType_NonDetermin_DefaultSched_CriticalRed.cpp
","0.057805"
"omp_32_2d_PR_OMP_Pull_FloatType_NonDetermin_DynamicSched_ClauseRed.cpp
","0.057843"
"omp_32_2d_PR_OMP_Pull_FloatType_Determin_DefaultSched_CriticalRed.cpp
","0.102365"
"omp_32_2d_PR_OMP_Pull_FloatType_Determin_DynamicSched_ClauseRed.cpp
","0.102405"
"omp_32_2d_PR_OMP_Pull_FloatType_NonDetermin_DefaultSched_ClauseRed.cpp
","0.057744"
"omp_32_ny_PR_OMP_Push_FloatType_DefaultSched_Atomic_ClauseRed.cpp
","0.009427"
"omp_32_ny_PR_OMP_Push_FloatType_DynamicSched_Atomic_ClauseRed.cpp
","0.008573"
"omp_32_ny_PR_OMP_Push_FloatType_DefaultSched_Critical_ClauseRed.cpp
","0.008600"
"omp_32_ny_PR_OMP_Push_FloatType_DefaultSched_Critical_AtomicRed.cpp
","0.008706"
"omp_32_ny_PR_OMP_Push_FloatType_DynamicSched_Atomic_AtomicRed.cpp
","0.008806"
"omp_32_ny_PR_OMP_Push_FloatType_DefaultSched_Critical_CriticalRed.cpp
","0.008615"
"omp_32_ny_PR_OMP_Push_FloatType_DefaultSched_Atomic_AtomicRed.cpp
","0.008800"
"omp_32_ny_PR_OMP_Push_FloatType_DynamicSched_Critical_AtomicRed.cpp
","0.009484"
"omp_32_ny_PR_OMP_Push_FloatType_DynamicSched_Critical_CriticalRed.cpp
","0.008440"
"omp_32_ny_PR_OMP_Push_FloatType_DynamicSched_Critical_ClauseRed.cpp
","0.008717"
"omp_32_ny_PR_OMP_Push_FloatType_DefaultSched_Atomic_CriticalRed.cpp
","0.008646"
"omp_32_ny_PR_OMP_Push_FloatType_DynamicSched_Atomic_CriticalRed.cpp
","0.008497"
"omp_32_ny_PR_OMP_Pull_FloatType_NonDetermin_DynamicSched_CriticalRed.cpp
","0.015467"
"omp_32_ny_PR_OMP_Pull_FloatType_Determin_DefaultSched_ClauseRed.cpp
","0.011454"
"omp_32_ny_PR_OMP_Pull_FloatType_Determin_DefaultSched_AtomicRed.cpp
","0.012398"
"omp_32_ny_PR_OMP_Pull_FloatType_NonDetermin_DynamicSched_AtomicRed.cpp
","0.015263"
"omp_32_ny_PR_OMP_Pull_FloatType_Determin_DynamicSched_CriticalRed.cpp
","0.011210"
"omp_32_ny_PR_OMP_Pull_FloatType_NonDetermin_DefaultSched_AtomicRed.cpp
","0.015346"
"omp_32_ny_PR_OMP_Pull_FloatType_Determin_DynamicSched_AtomicRed.cpp
","0.011729"
"omp_32_ny_PR_OMP_Pull_FloatType_NonDetermin_DefaultSched_CriticalRed.cpp
","0.018355"
"omp_32_ny_PR_OMP_Pull_FloatType_NonDetermin_DynamicSched_ClauseRed.cpp
","0.018261"
"omp_32_ny_PR_OMP_Pull_FloatType_Determin_DefaultSched_CriticalRed.cpp
","0.011307"
"omp_32_ny_PR_OMP_Pull_FloatType_Determin_DynamicSched_ClauseRed.cpp
","0.012520"
"omp_32_ny_PR_OMP_Pull_FloatType_NonDetermin_DefaultSched_ClauseRed.cpp
","0.014979"
"omp_32_rmat_PR_OMP_Push_FloatType_DefaultSched_Atomic_ClauseRed.cpp
","0.012169"
"omp_32_rmat_PR_OMP_Push_FloatType_DynamicSched_Atomic_ClauseRed.cpp
","0.012169"
"omp_32_rmat_PR_OMP_Push_FloatType_DefaultSched_Critical_ClauseRed.cpp
","0.012171"
"omp_32_rmat_PR_OMP_Push_FloatType_DefaultSched_Critical_AtomicRed.cpp
","0.012259"
"omp_32_rmat_PR_OMP_Push_FloatType_DynamicSched_Atomic_AtomicRed.cpp
","0.012050"
"omp_32_rmat_PR_OMP_Push_FloatType_DefaultSched_Critical_CriticalRed.cpp
","0.012177"
"omp_32_rmat_PR_OMP_Push_FloatType_DefaultSched_Atomic_AtomicRed.cpp
","0.012051"
"omp_32_rmat_PR_OMP_Push_FloatType_DynamicSched_Critical_AtomicRed.cpp
","0.012168"
"omp_32_rmat_PR_OMP_Push_FloatType_DynamicSched_Critical_CriticalRed.cpp
","0.012165"
"omp_32_rmat_PR_OMP_Push_FloatType_DynamicSched_Critical_ClauseRed.cpp
","0.012042"
"omp_32_rmat_PR_OMP_Push_FloatType_DefaultSched_Atomic_CriticalRed.cpp
","0.012056"
"omp_32_rmat_PR_OMP_Push_FloatType_DynamicSched_Atomic_CriticalRed.cpp
","0.012056"
"omp_32_rmat_PR_OMP_Pull_FloatType_NonDetermin_DynamicSched_CriticalRed.cpp
","0.010047"
"omp_32_rmat_PR_OMP_Pull_FloatType_Determin_DefaultSched_ClauseRed.cpp
","0.015189"
"omp_32_rmat_PR_OMP_Pull_FloatType_Determin_DefaultSched_AtomicRed.cpp
","0.015450"
"omp_32_rmat_PR_OMP_Pull_FloatType_NonDetermin_DynamicSched_AtomicRed.cpp
","0.010031"
"omp_32_rmat_PR_OMP_Pull_FloatType_Determin_DynamicSched_CriticalRed.cpp
","0.015339"
"omp_32_rmat_PR_OMP_Pull_FloatType_NonDetermin_DefaultSched_AtomicRed.cpp
","0.010060"
"omp_32_rmat_PR_OMP_Pull_FloatType_Determin_DynamicSched_AtomicRed.cpp
","0.015444"
"omp_32_rmat_PR_OMP_Pull_FloatType_NonDetermin_DefaultSched_CriticalRed.cpp
","0.010030"
"omp_32_rmat_PR_OMP_Pull_FloatType_NonDetermin_DynamicSched_ClauseRed.cpp
","0.010031"
"omp_32_rmat_PR_OMP_Pull_FloatType_Determin_DefaultSched_CriticalRed.cpp
","0.015447"
"omp_32_rmat_PR_OMP_Pull_FloatType_Determin_DynamicSched_ClauseRed.cpp
","0.015166"
"omp_32_rmat_PR_OMP_Pull_FloatType_NonDetermin_DefaultSched_ClauseRed.cpp
","0.010055"
"omp_32_co_PR_OMP_Push_FloatType_DefaultSched_Atomic_ClauseRed.cpp
","0.038128"
"omp_32_co_PR_OMP_Push_FloatType_DynamicSched_Atomic_ClauseRed.cpp
","0.037553"
"omp_32_co_PR_OMP_Push_FloatType_DefaultSched_Critical_ClauseRed.cpp
","0.038173"
"omp_32_co_PR_OMP_Push_FloatType_DefaultSched_Critical_AtomicRed.cpp
","0.038059"
"omp_32_co_PR_OMP_Push_FloatType_DynamicSched_Atomic_AtomicRed.cpp
","0.038147"
"omp_32_co_PR_OMP_Push_FloatType_DefaultSched_Critical_CriticalRed.cpp
","0.037580"
"omp_32_co_PR_OMP_Push_FloatType_DefaultSched_Atomic_AtomicRed.cpp
","0.038107"
"omp_32_co_PR_OMP_Push_FloatType_DynamicSched_Critical_AtomicRed.cpp
","0.038077"
"omp_32_co_PR_OMP_Push_FloatType_DynamicSched_Critical_CriticalRed.cpp
","0.037622"
"omp_32_co_PR_OMP_Push_FloatType_DynamicSched_Critical_ClauseRed.cpp
","0.037645"
"omp_32_co_PR_OMP_Push_FloatType_DefaultSched_Atomic_CriticalRed.cpp
","0.037619"
"omp_32_co_PR_OMP_Push_FloatType_DynamicSched_Atomic_CriticalRed.cpp
","0.037596"
"omp_32_co_PR_OMP_Pull_FloatType_NonDetermin_DynamicSched_CriticalRed.cpp
","0.033256"
"omp_32_co_PR_OMP_Pull_FloatType_Determin_DefaultSched_ClauseRed.cpp
","0.034690"
"omp_32_co_PR_OMP_Pull_FloatType_Determin_DefaultSched_AtomicRed.cpp
","0.035111"
"omp_32_co_PR_OMP_Pull_FloatType_NonDetermin_DynamicSched_AtomicRed.cpp
","0.033654"
"omp_32_co_PR_OMP_Pull_FloatType_Determin_DynamicSched_CriticalRed.cpp
","0.034729"
"omp_32_co_PR_OMP_Pull_FloatType_NonDetermin_DefaultSched_AtomicRed.cpp
","0.033636"
"omp_32_co_PR_OMP_Pull_FloatType_Determin_DynamicSched_AtomicRed.cpp
","0.034693"
"omp_32_co_PR_OMP_Pull_FloatType_NonDetermin_DefaultSched_CriticalRed.cpp
","0.033643"
"omp_32_co_PR_OMP_Pull_FloatType_NonDetermin_DynamicSched_ClauseRed.cpp
","0.033655"
"omp_32_co_PR_OMP_Pull_FloatType_Determin_DefaultSched_CriticalRed.cpp
","0.034749"
"omp_32_co_PR_OMP_Pull_FloatType_Determin_DynamicSched_ClauseRed.cpp
","0.034743"
"omp_32_co_PR_OMP_Pull_FloatType_NonDetermin_DefaultSched_ClauseRed.cpp
","0.033242"
"omp_32_soc_PR_OMP_Push_FloatType_DefaultSched_Atomic_ClauseRed.cpp
","0.016483"
"omp_32_soc_PR_OMP_Push_FloatType_DynamicSched_Atomic_ClauseRed.cpp
","0.016476"
"omp_32_soc_PR_OMP_Push_FloatType_DefaultSched_Critical_ClauseRed.cpp
","0.016444"
"omp_32_soc_PR_OMP_Push_FloatType_DefaultSched_Critical_AtomicRed.cpp
","0.016481"
"omp_32_soc_PR_OMP_Push_FloatType_DynamicSched_Atomic_AtomicRed.cpp
","0.016248"
"omp_32_soc_PR_OMP_Push_FloatType_DefaultSched_Critical_CriticalRed.cpp
","0.016259"
"omp_32_soc_PR_OMP_Push_FloatType_DefaultSched_Atomic_AtomicRed.cpp
","0.016207"
"omp_32_soc_PR_OMP_Push_FloatType_DynamicSched_Critical_AtomicRed.cpp
","0.016566"
"omp_32_soc_PR_OMP_Push_FloatType_DynamicSched_Critical_CriticalRed.cpp
","0.016262"
"omp_32_soc_PR_OMP_Push_FloatType_DynamicSched_Critical_ClauseRed.cpp
","0.016235"
"omp_32_soc_PR_OMP_Push_FloatType_DefaultSched_Atomic_CriticalRed.cpp
","0.016472"
"omp_32_soc_PR_OMP_Push_FloatType_DynamicSched_Atomic_CriticalRed.cpp
","0.016247"
"omp_32_soc_PR_OMP_Pull_FloatType_NonDetermin_DynamicSched_CriticalRed.cpp
","0.008825"
"omp_32_soc_PR_OMP_Pull_FloatType_Determin_DefaultSched_ClauseRed.cpp
","0.018313"
"omp_32_soc_PR_OMP_Pull_FloatType_Determin_DefaultSched_AtomicRed.cpp
","0.018232"
"omp_32_soc_PR_OMP_Pull_FloatType_NonDetermin_DynamicSched_AtomicRed.cpp
","0.008872"
"omp_32_soc_PR_OMP_Pull_FloatType_Determin_DynamicSched_CriticalRed.cpp
","0.018596"
"omp_32_soc_PR_OMP_Pull_FloatType_NonDetermin_DefaultSched_AtomicRed.cpp
","0.008967"
"omp_32_soc_PR_OMP_Pull_FloatType_Determin_DynamicSched_AtomicRed.cpp
","0.018353"
"omp_32_soc_PR_OMP_Pull_FloatType_NonDetermin_DefaultSched_CriticalRed.cpp
","0.008874"
"omp_32_soc_PR_OMP_Pull_FloatType_NonDetermin_DynamicSched_ClauseRed.cpp
","0.008878"
"omp_32_soc_PR_OMP_Pull_FloatType_Determin_DefaultSched_CriticalRed.cpp
","0.018362"
"omp_32_soc_PR_OMP_Pull_FloatType_Determin_DynamicSched_ClauseRed.cpp
","0.018364"
"omp_32_soc_PR_OMP_Pull_FloatType_NonDetermin_DefaultSched_ClauseRed.cpp
","0.008883"
